ano,semana,dia,tipo,salmo,antigo_testamento,novo_testamento
Ano A,Próprio 8,Sex,Semicontínua,Salmo 13,II Crônicas 20.5-12,Gálatas 5.7-12
Ano A,Próprio 8,Sab,Complementar,Salmo 89.1-4; 15-18,Jeremias 28.1-4,Lucas 17.1-4
Ano A,Próprio 8,Sab,Semicontínua,Salmo 13,Gênesis 26.23-25,Lucas 17.1-4
Ano A,Próprio 8,Seg,Complementar,Salmo 119.161-168,I Reis 21.1-16,I Tessalonicenses 4.9-12
Ano A,Próprio 8,Seg,Semicontínua,Salmo 47,Gênesis 22.15-18,I Tessalonicenses 4.9-12
Ano A,Próprio 8,Ter,Complementar,Salmo 119.161-168,I Reis 21.17-29,I João 4.1-6
Ano A,Próprio 8,Ter,Semicontínua,Salmo 47,I Reis 18.36-39,I João 4.1-6
Ano A,Próprio 8,Qua,Complementar,Salmo 119.161-168,Jeremias 18.1-11,Mateus 11.20-24
Ano A,Próprio 8,Qua,Semicontínua,Salmo 47,Isaías 51.1-3,Mateus 11.20-24
Ano A,Próprio 9,Qui,Complementar,Salmo 145.8-14,Zacarias 1.1-6,Romanos 7.1-6
Ano A,Próprio 9,Qui,Semicontínua,Salmo 45.10-17,Gênesis 25.19-27,Romanos 7.1-6
Ano A,Próprio 9,Sex,Complementar,Salmo 145.8-14,Zacarias 2.6-13,Romanos 7.7-20
Ano A,Próprio 9,Sex,Semicontínua,Salmo 45.10-17,Gênesis 27.1-17,Romanos 7.7-20
Ano A,Próprio 9,Sab,Complementar,Salmo 145.8-14,Zacarias 4.1-7,Lucas 10.21-24
Ano A,Próprio 9,Sab,Semicontínua,Salmo 45.10-17,Gênesis 27.18-29,Lucas 10.21-24
Ano A,Próprio 9,Seg,Complementar,Salmo 131,Jeremias 27.1-11; 16-22,Romanos 1.18-25
Ano A,Próprio 9,Seg,Semicontínua,Cântico dos Cânticos 2.8-13,Gênesis 27.30-46,Romanos 1.18-25
Ano A,Próprio 9,Ter,Complementar,Salmo 131,Jeremias 28.10-17,Romanos 3.1-8
Ano A,Próprio 9,Ter,Semicontínua,Cântico dos Cânticos 2.8-13,Gênesis 29.1-14,Romanos 3.1-8
Ano A,Próprio 9,Qua,Complementar,Salmo 131,Jeremias 13.1-11,João 13.1-17
Ano A,Próprio 9,Qua,Semicontínua,Cântico dos Cânticos 2.8-13,Gênesis 29.31-35,João 13.1-17
Ano A,Próprio 10,Qui,Complementar,Salmo 65.9-13,Isaías 48.1-5,Romanos 2.12-16
Ano A,Próprio 10,Qui,Semicontínua,Salmo 119.105-112,Êxodo 3.1-6,Romanos 2.12-16
Ano A,Próprio 10,Sex,Complementar,Salmo 65.9-13,Isaías 48.6-11,Romanos 15.14-21
Ano A,Próprio 10,Sex,Semicontínua,Salmo 119.105-112,Deuteronômio 32.1-10,Romanos 15.14-21
Ano A,Próprio 10,Sab,Complementar,Salmo 65.9-13,Isaías 52.1-6,João 12.44-50
Ano A,Próprio 10,Sab,Semicontínua,Salmo 119.105-112,Isaías 2.1-4,João 12.44-50
Ano A,Próprio 10,Seg,Complementar,Salmo 92,Levítico 26.3-20,I Tessalonicenses 4.1-8
Ano A,Próprio 10,Seg,Semicontínua,Salmo 142,Miqueias 1.1-5,I Tessalonicenses 4.1-8
Ano A,Próprio 10,Ter,Complementar,Salmo 92,Deuteronômio 28.1-14,Efésios 4.17–5.2
Ano A,Próprio 10,Ter,Semicontínua,Salmo 142,Jeremias 49.7-11,Efésios 4.17–5.2
Ano A,Próprio 10,Qua,Complementar,Salmo 92,Provérbios 11.23-30,Mateus 13.10-17
Ano A,Próprio 10,Qua,Semicontínua,Salmo 142,Obadias 15-21,Mateus 13.10-17
Ano A,Próprio 11,Qui,Complementar,Salmo 86.11-17,Isaías 41.21-29,Hebreus 2.1-9
Ano A,Próprio 11,Qui,Semicontínua,Salmo 139.1-12; 23-24,Isaías 44.1-5,Hebreus 2.1-9
Ano A,Próprio 11,Sex,Complementar,Salmo 86.11-17,Isaías 44.9-17,Hebreus 6.13-20
Ano A,Próprio 11,Sex,Semicontínua,Salmo 139.1-12; 23-24,Ezequiel 39.21-29,Hebreus 6.13-20
Ano A,Próprio 11,Sab,Complementar,Salmo 86.11-17,Isaías 44.18-20,Mateus 7.15-20
Ano A,Próprio 11,Sab,Semicontínua,Salmo 139.1-12; 23-24,Êxodo 14.9-25,Mateus 7.15-20
Ano A,Próprio 11,Seg,Complementar,Salmo 75,Naum 1.1-13,Apocalipse 14.12-20
Ano A,Próprio 11,Seg,Semicontínua,Salmo 139.13-18,Gênesis 32.3-21,Apocalipse 14.12-20
Ano A,Próprio 11,Ter,Complementar,Salmo 75,Sofonias 3.1-13,Gálatas 4.21–5.1
Ano A,Próprio 11,Ter,Semicontínua,Salmo 139.13-18,Gênesis 33.1-17,Gálatas 4.21–5.1
Ano A,Próprio 11,Qua,Complementar,Salmo 75,Daniel 12.1-13,Mateus 12.15-21
Ano A,Próprio 11,Qua,Semicontínua,Salmo 139.13-18,Gênesis 35.16-29,Mateus 12.15-21
Ano A,Próprio 12,Qui,Complementar,Salmo 119.129-136,I Reis 1.28-37,I Coríntios 4.14-20
Ano A,Próprio 12,Qui,Semicontínua,Salmo 105.1-11; 45b,Gênesis 29.1-8,I Coríntios 4.14-20
Ano A,Próprio 12,Sex,Complementar,Salmo 119.129-136,I Reis 1.38-48,Atos 7.44-53
Ano A,Próprio 12,Sex,Semicontínua,Salmo 105.1-11; 45b,Gênesis 29.9-14,Atos 7.44-53
Ano A,Próprio 12,Sab,Complementar,Salmo 119.129-136,I Reis 2.1-4,Mateus 12.38-42
Ano A,Próprio 12,Sab,Semicontínua,Salmo 105.1-11; 45b,Gênesis 29.31–30.24,Mateus 12.38-42
Ano A,Próprio 12,Seg,Complementar,Salmo 119.121-128,I Reis 3.16-28,Tiago 3.13-18
Ano A,Próprio 12,Seg,Semicontínua,Salmo 65.8-13,Gênesis 30.25-36,Tiago 3.13-18
Ano A,Próprio 12,Ter,Complementar,Salmo 119.121-128,I Reis 4.29-34,Efésios 6.10-18
Ano A,Próprio 12,Ter,Semicontínua,Salmo 65.8-13,Gênesis 30.37-43,Efésios 6.10-18
Ano A,Próprio 12,Qua,Complementar,Salmo 119.121-128,"Provérbios 1.1-7, 20-33",Marcos 4.30-34
Ano A,Próprio 12,Qua,Semicontínua,Salmo 65.8-13,Gênesis 46.2–47.12,Marcos 4.30-34
Ano A,Próprio 13,Qui,Complementar,Salmo 145.8-9; 14-21,Provérbios 10.1-5,Filipenses 4.10-15
Ano A,Próprio 13,Qui,Semicontínua,Salmo 17.1-7; 15,Isaías 14.1-2,Filipenses 4.10-15
Ano A,Próprio 13,Sex,Complementar,Salmo 145.8-9; 14-21,Isaías 51.17-23,Romanos 9.6-13
Ano A,Próprio 13,Sex,Semicontínua,Salmo 17.1-7; 15,Isaías 41.8-10,Romanos 9.6-13
Ano A,Próprio 13,Sab,Complementar,Salmo 145.8-9; 14-21,Isaías 44.1-5,Mateus 7.7-11
Ano A,Próprio 13,Sab,Semicontínua,Salmo 17.1-7; 15,Gênesis 31.1-21,Mateus 7.7-11
Ano A,Próprio 13,Seg,Complementar,Salmo 78.1-8; 17-29,Deuteronômio 8.1-10,Romanos 1.8-15
Ano A,Próprio 13,Seg,Semicontínua,Salmo 17.1-7; 15,Gênesis 31.22-42,Romanos 1.8-15
Ano A,Próprio 13,Ter,Complementar,Salmo 78.1-8; 17-29,Deuteronômio 26.1-15,Atos 2.37-47
Ano A,Próprio 13,Ter,Semicontínua,Salmo 17.1-7; 15,Gênesis 32.3-21,Atos 2.37-47
Ano A,Próprio 13,Qua,Complementar,Salmo 78.1-8; 17-29,"Êxodo 16.2-15, 31-35",Mateus 15.32-39
Ano A,Próprio 13,Qua,Semicontínua,Salmo 17.1-7; 15,Isaías 43.1-7,Mateus 15.32-39
Ano A,Próprio 14,Qui,Complementar,Salmo 85.8-13,I Reis 18.1-16,Atos 17.10-15
Ano A,Próprio 14,Qui,Semicontínua,Salmo 105.1-6; 16-22; 45b,Gênesis 35.22b-29,Atos 17.10-15
Ano A,Próprio 14,Sex,Complementar,Salmo 85.8-13,"I Reis 18.17-19, 30-40",Atos 18.24-28
Ano A,Próprio 14,Sex,Semicontínua,Salmo 105.1-6; 16-22; 45b,Gênesis 36.1-8,Atos 18.24-28
Ano A,Próprio 14,Sab,Complementar,Salmo 85.8-13,I Reis 18.41-46,Mateus 16.1-4
Ano A,Próprio 14,Sab,Semicontínua,Salmo 105.1-6; 16-22; 45b,Gênesis 37.5-11,Mateus 16.1-4
Ano A,Próprio 14,Seg,Complementar,Salmo 18.1-19,Gênesis 7.11–8.5,II Pedro 2.4-10
Ano A,Próprio 14,Seg,Semicontínua,Salmo 28,Gênesis 37.29-36,II Pedro 2.4-10
Ano A,Próprio 14,Ter,Complementar,Salmo 18.1-19,Gênesis 19.1-29,Romanos 9.14-29
Ano A,Próprio 14,Ter,Semicontínua,Salmo 28,Gênesis 39.1-23,Romanos 9.14-29
Ano A,Próprio 14,Qua,Complementar,Salmo 18.1-19,"Jó 36.24-33; 37.14-24",Mateus 8.23-27
Ano A,Próprio 14,Qua,Semicontínua,Salmo 28,Gênesis 40.1-23,Mateus 8.23-27
Ano A,Próprio 15,Qui,Complementar,Salmo 67,Isaías 45.20-25,Apocalipse 15.1-4
Ano A,Próprio 15,Qui,Semicontínua,Salmo 133,Gênesis 41.14-36,Apocalipse 15.1-4
Ano A,Próprio 15,Sex,Complementar,Salmo 67,Isaías 63.15-19,Atos 14.19-28
Ano A,Próprio 15,Sex,Semicontínua,Salmo 133,Gênesis 41.37-57,Atos 14.19-28
Ano A,Próprio 15,Sab,Complementar,Salmo 67,Isaías 56.1-5,Mateus 14.34-36
Ano A,Próprio 15,Sab,Semicontínua,Salmo 133,Gênesis 42.1-28,Mateus 14.34-36
Ano A,Próprio 15,Seg,Complementar,Salmo 87,II Reis 5.1-14,Atos 15.1-21
Ano A,Próprio 15,Seg,Semicontínua,Salmo 130,Gênesis 43.1-34,Atos 15.1-21
Ano A,Próprio 15,Ter,Complementar,Salmo 87,Isaías 43.8-13,Romanos 11.13-29
Ano A,Próprio 15,Ter,Semicontínua,Salmo 130,Gênesis 44.1-34,Romanos 11.13-29
Ano A,Próprio 15,Qua,Complementar,Salmo 87,Isaías 66.18-23,Mateus 8.1-13
Ano A,Próprio 15,Qua,Semicontínua,Salmo 130,Gênesis 45.16-28,Mateus 8.1-13
Ano A,Próprio 16,Qui,Complementar,Salmo 138,Ezequiel 28.11-19,I Coríntios 6.1-11
Ano A,Próprio 16,Qui,Semicontínua,Salmo 124,Gênesis 49.1-33,I Coríntios 6.1-11
Ano A,Próprio 16,Sex,Complementar,Salmo 138,Ezequiel 31.15-18,II Coríntios 10.12-18
Ano A,Próprio 16,Sex,Semicontínua,Salmo 124,Gênesis 49.29–50.14,II Coríntios 10.12-18
Ano A,Próprio 16,Sab,Complementar,Salmo 138,Ezequiel 36.33-38,Mateus 16.5-12
Ano A,Próprio 16,Sab,Semicontínua,Salmo 124,Gênesis 50.15-26,Mateus 16.5-12
Ano A,Próprio 16,Seg,Complementar,Salmo 18.1-3; 20-32,I Samuel 7.3-13,Romanos 2.1-11
Ano A,Próprio 16,Seg,Semicontínua,Salmo 8,Êxodo 1.1-7,Romanos 2.1-11
Ano A,Próprio 16,Ter,Complementar,Salmo 18.1-3; 20-32,"Deuteronômio 32.18-20, 28-39",Romanos 11.33-36
Ano A,Próprio 16,Ter,Semicontínua,Salmo 8,Êxodo 2.11-15a,Romanos 11.33-36
Ano A,Próprio 16,Qua,Complementar,Salmo 18.1-3; 20-32,Isaías 28.14-22,Mateus 26.6-13
Ano A,Próprio 16,Qua,Semicontínua,Salmo 8,Êxodo 2.15b-22,Mateus 26.6-13
Ano A,Próprio 17,Qui,Complementar,Salmo 26.1-8,Jeremias 14.13-18,Efésios 5.1-6
Ano A,Próprio 17,Qui,Semicontínua,Salmo 105.1-6; 23-26; 45b,Êxodo 2.23-24,Efésios 5.1-6
Ano A,Próprio 17,Sex,Complementar,Salmo 26.1-8,Jeremias 15.1-9,II Tessalonicenses 2.7-12
Ano A,Próprio 17,Sex,Semicontínua,Salmo 105.1-6; 23-26; 45b,Êxodo 3.16-25,II Tessalonicenses 2.7-12
Ano A,Próprio 17,Sab,Complementar,Salmo 26.1-8,Jeremias 15.10-14,Mateus 8.14-17
Ano A,Próprio 17,Sab,Semicontínua,Salmo 105.1-6; 23-26; 45b,Êxodo 4.1-9,Mateus 8.14-17
Ano A,Próprio 17,Seg,Complementar,Salmo 17,II Samuel 11.2-26,Apocalipse 3.1-6
Ano A,Próprio 17,Seg,Semicontínua,Salmo 83.1-4; 13-18,Êxodo 4.10-31,Apocalipse 3.1-6
Ano A,Próprio 17,Ter,Complementar,Salmo 17,II Samuel 11.27b–12.15,Apocalipse 3.7-13
Ano A,Próprio 17,Ter,Semicontínua,Salmo 83.1-4; 13-18,Êxodo 5.1–6.13,Apocalipse 3.7-13
Ano A,Próprio 17,Qua,Complementar,Salmo 17,Jeremias 17.5-18,Mateus 12.22-32
Ano A,Próprio 17,Qua,Semicontínua,Salmo 83.1-4; 13-18,Êxodo 7.14-25,Mateus 12.22-32
Ano A,Próprio 18,Qui,Complementar,Salmo 119.33-40,Ezequiel 24.1-14,II Coríntios 12.11-21
Ano A,Próprio 18,Qui,Semicontínua,Salmo 149,Êxodo 9.1-7,II Coríntios 12.11-21
Ano A,Próprio 18,Sex,Complementar,Salmo 119.33-40,Ezequiel 24.15-27,Romanos 10.15b-21
Ano A,Próprio 18,Sex,Semicontínua,Salmo 149,Êxodo 10.21-29,Romanos 10.15b-21
Ano A,Próprio 18,Sab,Complementar,Salmo 119.33-40,Ezequiel 33.1-6,Mateus 23.29-36
Ano A,Próprio 18,Sab,Semicontínua,Salmo 149,Êxodo 11.1-10,Mateus 23.29-36
Ano A,Próprio 18,Seg,Complementar,Salmo 119.65-72,"Levítico 4.27-31; 5.14-16",I Pedro 2.11-17
Ano A,Próprio 18,Seg,Semicontínua,Salmo 121,Êxodo 12.14-28,I Pedro 2.11-17
Ano A,Próprio 18,Ter,Complementar,Salmo 119.65-72,Deuteronômio 17.2-13,Romanos 13.1-7
Ano A,Próprio 18,Ter,Semicontínua,Salmo 121,Êxodo 12.29-42,Romanos 13.1-7
Ano A,Próprio 18,Qua,Complementar,Salmo 119.65-72,"Levítico 16.1-5, 20-28",Mateus 21.18-22
Ano A,Próprio 18,Qua,Semicontínua,Salmo 121,Êxodo 13.1-10,Mateus 21.18-22
Ano A,Próprio 19,Qui,Complementar,Salmo 103.[1-7] 8-13,Gênesis 37.12-36,I João 3.11-16
Ano A,Próprio 19,Qui,Semicontínua,Salmo 114,Êxodo 13.17-22,I João 3.11-16
Ano A,Próprio 19,Sex,Complementar,Salmo 103.[1-7] 8-13,Gênesis 41.53–42.17,Atos 7.9-16
Ano A,Próprio 19,Sex,Semicontínua,Salmo 114,Êxodo 14.1-18,Atos 7.9-16
Ano A,Próprio 19,Sab,Complementar,Salmo 103.[1-7] 8-13,Gênesis 45.1-20,Mateus 6.7-15
Ano A,Próprio 19,Sab,Semicontínua,Salmo 114,Êxodo 15.19-21,Mateus 6.7-15
Ano A,Próprio 19,Seg,Complementar,Salmo 133,Gênesis 48.8-22,Hebreus 11.23-29
Ano A,Próprio 19,Seg,Semicontínua,Salmo 77,Josué 3.1-17,Hebreus 11.23-29
Ano A,Próprio 19,Ter,Complementar,Salmo 133,Gênesis 49.29–50.14,Romanos 14.13–15.2
Ano A,Próprio 19,Ter,Semicontínua,Salmo 77,Neemias 9.9-15,Romanos 14.13–15.2
Ano A,Próprio 19,Qua,Complementar,Salmo 133,Gênesis 50.22-26,Marcos 11.20-25
Ano A,Próprio 19,Qua,Semicontínua,Salmo 77,II Reis 2.1-18,Marcos 11.20-25
Ano A,Próprio 20,Qui,Complementar,Salmo 145.1-8,"Naum 1.1, 14–2.2",II Coríntios 13.1-4
Ano A,Próprio 20,Qui,Semicontínua,Salmo 105.1-6; 37-45,Êxodo 15.22-27,II Coríntios 13.1-4
Ano A,Próprio 20,Sex,Complementar,Salmo 145.1-8,Naum 2.3-13,II Coríntios 13.5-10
Ano A,Próprio 20,Sex,Semicontínua,Salmo 105.1-6; 37-45,Êxodo 16.1-21,II Coríntios 13.5-10
Ano A,Próprio 20,Sab,Complementar,Salmo 145.1-8,Sofonias 2.13-15,Mateus 19.23-30
Ano A,Próprio 20,Sab,Semicontínua,Salmo 105.1-6; 37-45,Êxodo 16.22-30,Mateus 19.23-30
Ano A,Próprio 20,Seg,Complementar,Salmo 106.1-12,Gênesis 27.1-29,Romanos 16.1-16
Ano A,Próprio 20,Seg,Semicontínua,Salmo 119.97-104,Êxodo 16.31-35,Romanos 16.1-16
Ano A,Próprio 20,Ter,Complementar,Salmo 106.1-12,Gênesis 28.10-17,Números 11.1-9
Ano A,Próprio 20,Ter,Semicontínua,Salmo 119.97-104,Romanos 16.17-20,Romanos 16.17-20
Ano A,Próprio 20,Qua,Complementar,Salmo 106.1-12,Isaías 41.1-13,"Números 11.18-23, 31-32"
Ano A,Próprio 20,Qua,Semicontínua,Salmo 119.97-104,Mateus 18.1-5,Mateus 18.1-5
Ano A,Próprio 21,Qui,Complementar,Salmo 25.1-9,Ezequiel 12.17-28,Tiago 4.11-16
Ano A,Próprio 21,Qui,Semicontínua,Salmo 78.1-4; 12-16,Isaías 48.17-21,Tiago 4.11-16
Ano A,Próprio 21,Sex,Complementar,Salmo 25.1-9,Ezequiel 18.5-18,Atos 13.32-41
Ano A,Próprio 21,Sex,Semicontínua,Salmo 78.1-4; 12-16,Números 20.1-13,Atos 13.32-41
Ano A,Próprio 21,Sab,Complementar,Salmo 25.1-9,Ezequiel 18.19-24,Marcos 11.27-33
Ano A,Próprio 21,Sab,Semicontínua,Salmo 78.1-4; 12-16,Números 27.12-14,Marcos 11.27-33
Ano A,Próprio 21,Seg,Complementar,Salmo 28,Juízes 14.1-20,Filipenses 1.3-14
Ano A,Próprio 21,Seg,Semicontínua,Salmo 42,Êxodo 18.1-12,Filipenses 1.3-14
Ano A,Próprio 21,Ter,Complementar,Salmo 28,Juízes 16.1-22,Filipenses 1.15-21
Ano A,Próprio 21,Ter,Semicontínua,Salmo 42,Êxodo 18.13-27,Filipenses 1.15-21
Ano A,Próprio 21,Qua,Complementar,Salmo 28,Juízes 16.23-31,Êxodo 19.9b-25
Ano A,Próprio 21,Qua,Semicontínua,Salmo 42,Mateus 9.2-8,Mateus 9.2-8
Ano A,Próprio 22,Qui,Complementar,Salmo 80.7-15,Jeremias 2.14-22,Colossenses 2.16-23
Ano A,Próprio 22,Qui,Semicontínua,Salmo 19,Êxodo 23.1-9,Colossenses 2.16-23
Ano A,Próprio 22,Sex,Complementar,Salmo 80.7-15,Jeremias 2.23-37,"Filipenses 2.14-18; 3.1-4a"
Ano A,Próprio 22,Sex,Semicontínua,Salmo 19,Êxodo 23.14-19,Filipenses 2.14-18; 3.1-4a
Ano A,Próprio 22,Sab,Complementar,Salmo 80.7-15,Jeremias 6.1-10,João 7.40-52
Ano A,Próprio 22,Sab,Semicontínua,Salmo 19,Êxodo 23.10-13,João 7.40-52
Ano A,Próprio 22,Seg,Complementar,Salmo 144,Ezequiel 19.10-14,I Pedro 2.4-10
Ano A,Próprio 22,Seg,Semicontínua,Salmo 119.49-56,Deuteronômio 5.1-21,I Pedro 2.4-10
Ano A,Próprio 22,Ter,Complementar,Salmo 144,Isaías 27.1-6,II Coríntios 5.17-21
Ano A,Próprio 22,Ter,Semicontínua,Salmo 119.49-56,Deuteronômio 5.22–6.3,II Coríntios 5.17-21
Ano A,Próprio 22,Qua,Complementar,Salmo 144,Cântico dos Cânticos 8.5-14,João 11.45-57
Ano A,Próprio 22,Qua,Semicontínua,Salmo 119.49-56,Deuteronômio 6.10-25,João 11.45-57
Ano A,Próprio 23,Qui,Complementar,Salmo 23,Isaías 22.1-8a,"I Pedro 5.1-5, 12-14"
Ano A,Próprio 23,Qui,Semicontínua,Salmo 106.1-6; 19-23,Êxodo 24.1-8,"I Pedro 5.1-5, 12-14"
Ano A,Próprio 23,Sex,Complementar,Salmo 23,Isaías 22.8b-14,Tiago 4.4-10
Ano A,Próprio 23,Sex,Semicontínua,Salmo 106.1-6; 19-23,Êxodo 24.9-11,Tiago 4.4-10
Ano A,Próprio 23,Sab,Complementar,Salmo 23,Isaías 24.17-23,Marcos 2.18-22
Ano A,Próprio 23,Sab,Semicontínua,Salmo 106.1-6; 19-23,Êxodo 24.12-18,Marcos 2.18-22
Ano A,Próprio 23,Seg,Complementar,Salmo 34,Êxodo 19.7-20,Judas 17-25
Ano A,Próprio 23,Seg,Semicontínua,Salmo 97,Êxodo 32.15-35,Judas 17-25
Ano A,Próprio 23,Ter,Complementar,Salmo 34,Amós 9.5-15,Filipenses 3.13–4.1
Ano A,Próprio 23,Ter,Semicontínua,Salmo 97,Êxodo 33.1-6,Filipenses 3.13–4.1
Ano A,Próprio 23,Qua,Complementar,Salmo 34,Cântico dos Cânticos 7.10–8.4,João 6.25-35
Ano A,Próprio 23,Qua,Semicontínua,Salmo 97,II Reis 17.7-20,João 6.25-35
Ano A,Próprio 24,Qui,Complementar,Salmo 96.1-9 [10-13],Juízes 17.1-6,III João 9-12
Ano A,Próprio 24,Qui,Semicontínua,Salmo 99,Êxodo 33.7-11,III João 9-12
Ano A,Próprio 24,Sex,Complementar,Salmo 96.1-9 [10-13],Deuteronômio 17.14-20,I Pedro 5.1-5
Ano A,Próprio 24,Sex,Semicontínua,Salmo 99,Êxodo 31.1-11,I Pedro 5.1-5
Ano A,Próprio 24,Sab,Complementar,Salmo 96.1-9 [10-13],Isaías 14.3-11,Mateus 14.1-12
Ano A,Próprio 24,Sab,Semicontínua,Salmo 99,Êxodo 39.32-43,Mateus 14.1-12
Ano A,Próprio 24,Seg,Complementar,Salmo 98,Daniel 3.1-18,"Apocalipse 18.1-10, 19-20"
Ano A,Próprio 24,Seg,Semicontínua,Salmo 63.1-8,Êxodo 40.34-38,"Apocalipse 18.1-10, 19-20"
Ano A,Próprio 24,Ter,Complementar,Salmo 98,Daniel 3.19-30,Apocalipse 18.21-24
Ano A,Próprio 24,Ter,Semicontínua,Salmo 63.1-8,Números 12.1-9,Apocalipse 18.21-24
Ano A,Próprio 24,Qua,Complementar,Salmo 98,Daniel 6.1-28,"Números 13.1-2, 17–14.9"
Ano A,Próprio 24,Qua,Semicontínua,Salmo 63.1-8,Mateus 17.22-27,Mateus 17.22-27
Ano A,Próprio 25,Qui,Complementar,Salmo 1,Números 5.5-10,Tito 1.5-16
Ano A,Próprio 25,Qui,Semicontínua,Salmo 90.1-6; 13-17,Deuteronômio 31.14-22,Tito 1.5-16
Ano A,Próprio 25,Sex,Complementar,Salmo 1,"Deuteronômio 9.25–10.5","Tito 2.7-8, 11-15"
Ano A,Próprio 25,Sex,Semicontínua,Salmo 90.1-6; 13-17,"Deuteronômio 32.1-14, 18",Tito 2.7-8; 11-15
Ano A,Próprio 25,Sab,Complementar,Salmo 1,Provérbios 24.23-34,João 5.39-47
Ano A,Próprio 25,Sab,Semicontínua,Salmo 90.1-6; 13-17,Deuteronômio 32.44-47,João 5.39-47
Ano A,Próprio 25,Seg,Complementar,Salmo 119.41-48,"Deuteronômio 6.1-9, 20-25",Tiago 2.8-13
Ano A,Próprio 25,Seg,Semicontínua,Salmo 119.41-48,Números 33.38-39,Tiago 2.8-13
Ano A,Próprio 25,Ter,Complementar,Salmo 119.41-48,Deuteronômio 10.10-22,Tiago 2.14-26
Ano A,Próprio 25,Ter,Semicontínua,Salmo 119.41-48,"Êxodo 34.29-35",Tiago 2.14-26
Ano A,Próprio 25,Qua,Complementar,Salmo 119.41-48,Provérbios 16.1-20,Mateus 19.16-22
Ano A,Próprio 25,Qua,Semicontínua,Salmo 119.41-48,Deuteronômio 26.16–27.7,Mateus 19.16-22
Ano A,Próprio 26,Qui,Complementar,Salmo 43,Salmo 107.1-7; 33-37,Romanos 2.17-29
Ano A,Próprio 26,Qui,Semicontínua,I Samuel 2.27-36,Josué 1.1-11,Romanos 2.17-29
Ano A,Próprio 26,Sex,Complementar,Salmo 43,Ezequiel 13.1-16,II Pedro 2.1-3
Ano A,Próprio 26,Sex,Semicontínua,Salmo 107.1-7; 33-37,Josué 2.1-14,II Pedro 2.1-3
Ano A,Próprio 26,Sab,Complementar,Salmo 43,Malaquias 1.6–2.9,Mateus 23.13-28
Ano A,Próprio 26,Sab,Semicontínua,Salmo 107.1-7; 33-37,Josué 2.15-24,Mateus 23.13-28
Ano A,Próprio 26,Seg,Complementar,Salmo 5,Jeremias 5.18-31,I Tessalonicenses 2.13-20
Ano A,Próprio 26,Seg,Semicontínua,Salmo 128,Josué 4.1-24,I Tessalonicenses 2.13-20
Ano A,Próprio 26,Ter,Complementar,Salmo 5,Lamentações 2.13-17,Atos 13.1-12
Ano A,Próprio 26,Ter,Semicontínua,Salmo 128,"Josué 6.1-16, 20",Atos 13.1-12
Ano A,Próprio 26,Qua,Complementar,Salmo 5,Provérbios 16.21-33,Mateus 15.1-9
Ano A,Próprio 26,Qua,Semicontínua,Salmo 128,Josué 10.12-14,Mateus 15.1-9
Ano A,Próprio 27,Qui,Complementar,Salmo 70,Amós 1.1-2.5,Apocalipse 8.6-9.12
Ano A,Próprio 27,Qui,Semicontínua,Salmo 78.1-7,Josué 5.10-12,Apocalipse 8.6-9.12
Ano A,Próprio 27,Sex,Complementar,Salmo 70,Amós 3.1-12,Apocalipse 9.13-21
Ano A,Próprio 27,Sex,Semicontínua,Salmo 78.1-7,Josué 8.30-35,Apocalipse 9.13-21
Ano A,Próprio 27,Sab,Complementar,Salmo 70,Amós 4.6-13,Mateus 24.1-14
Ano A,Próprio 27,Sab,Semicontínua,Salmo 78.1-7,Josué 20.1-9,Mateus 24.1-14
Ano A,Próprio 27,Seg,Complementar,Salmo 63,Amós 8.7-14,I Coríntios 14.20-25
Ano A,Próprio 27,Seg,Semicontínua,Salmo 78,Josué 24.25-33,I Coríntios 14.20-25
Ano A,Próprio 27,Ter,Complementar,Salmo 63,Joel 1.1-14,I Tessalonicenses 3.6-13
Ano A,Próprio 27,Ter,Semicontínua,Salmo 78,Neemias 8.1-12,I Tessalonicenses 3.6-13
Ano A,Próprio 27,Qua,Complementar,Salmo 63,Joel 3.9-21,Mateus 24.29-35
Ano A,Próprio 27,Qua,Semicontínua,Salmo 78,Jeremias 31.31-34,Mateus 24.29-35
Ano A,Próprio 28,Qui,Complementar,"Salmo 90.1-8, 9-11, 12",Ezequiel 6.1-14,Apocalipse 16.1-7
Ano A,Próprio 28,Qui,Semicontínua,Salmo 123,Juízes 2.6-15,Apocalipse 16.1-7
Ano A,Próprio 28,Sex,Complementar,"Salmo 90.1-8, 9-11, 12",Ezequiel 7.1-9,Juízes 2.16-23
Ano A,Próprio 28,Sex,Semicontínua,Salmo 123,Juízes 2.16-23,Apocalipse 16.8-21
Ano A,Próprio 28,Sab,Complementar,"Salmo 90.1-8, 9-11, 12",Ezequiel 7.10-27,Juízes 5.1-12
Ano A,Próprio 28,Sab,Semicontínua,Salmo 123,Juízes 5.1-12,Mateus 12.43-45
Ano A,Próprio 28,Seg,Complementar,Salmo 9.1-14,"Salmo 83.1-4, 9-10, 17-18",Juízes 4.8-24
Ano A,Próprio 28,Seg,Semicontínua,"Salmo 83.1-4, 9-10, 17-18",Juízes 4.8-24,Romanos 2.1-11
Ano A,Próprio 28,Ter,Complementar,Salmo 9.1-14,Zacarias 1.7-17,I Tessalonicenses 5.12-18
Ano A,Próprio 28,Ter,Semicontínua,"Salmo 83.1-4, 9-10, 17-18",Êxodo 2.1-10,I Tessalonicenses 5.12-18
