ano,semana,dia,tipo,salmo,antigo_testamento,novo_testamento
Ano A,Batismo de nosso Senhor Jesus Cristo,Qua,,Salmo 89.5-37,Isaías 51.1-16,Mateus 12.15-21
Ano A,Segundo Domingo depois da Epifania,Qui,,Salmo 40.1-11,Isaías 22.15-25,Gálatas 1.6-12
Ano A,Segundo Domingo depois da Epifania,Sex,,Salmo 40.1-11,Gênesis 27.30-38,Atos 1.1-5
Ano A,Segundo Domingo depois da Epifania,Sab,,Salmo 40.1-11,I Reis 19.19-21,Lucas 5.1-11
Ano A,Segundo Domingo depois da Epifania,Seg,,Salmo 40.6-17,"Êxodo 12.1-13, 21-28",Atos 8.26-40
Ano A,Segundo Domingo depois da Epifania,Ter,,Salmo 40.6-17,Isaías 53.1-12,Hebreus 10.1-4
Ano A,Segundo Domingo depois da Epifania,Qua,,Salmo 40.6-17,Isaías 48.12-21,Mateus 9.14-17
Ano A,Terceiro Domingo depois da Epifania,Qui,,Salmo 27.1-6,I Samuel 1.1-20,Gálatas 1.11-24
Ano A,Terceiro Domingo depois da Epifania,Sex,,Salmo 27.1-6,I Samuel 9.27–10.8,Gálatas 2.1-10
Ano A,Terceiro Domingo depois da Epifania,Sab,,Salmo 27.1-6,I Samuel 15.34–16.13,Lucas 5.27-32
Ano A,Terceiro Domingo depois da Epifania,Seg,,Salmo 27.7-14,Juízes 6.11-24,Efésios 5.6-14
Ano A,Terceiro Domingo depois da Epifania,Ter,,Salmo 27.7-14,Juízes 7.12-22,Filipenses 2.12-18
Ano A,Terceiro Domingo depois da Epifania,Qua,,Salmo 27.7-14,"Gênesis 49.1-2, 8-13, 21-26",Lucas 1.67-79
Ano A,Quarto Domingo depois da Epifania,Qui,,Salmo 15,Deuteronômio 16.18-20,I Pedro 3.8-12
Ano A,Quarto Domingo depois da Epifania,Sex,,Salmo 15,Deuteronômio 24.17–25.4,I Timóteo 5.17-24
Ano A,Quarto Domingo depois da Epifania,Sab,,Salmo 15,Miqueias 3.1-4,João 13.31-35
Ano A,Quarto Domingo depois da Epifania,Seg,,Salmo 37.1-17,Rute 1.1-18,Filemon 1-25
Ano A,Quarto Domingo depois da Epifania,Ter,,Salmo 37.1-17,Rute 2.1-16,Tiago 5.1-6
Ano A,Quarto Domingo depois da Epifania,Qua,,Salmo 37.1-17,"Rute 3.1-13, 4.13-22",Lucas 6.17-26
Ano A,Quinto Domingo depois da Epifania,Qui,,Salmo 112.1-9 [10],Deuteronômio 4.1-14,I João 5.1-5
Ano A,Quinto Domingo depois da Epifania,Sex,,Salmo 112.1-9 [10],Isaías 29.1-12,Tiago 3.13-18
Ano A,Quinto Domingo depois da Epifania,Sab,,Salmo 112.1-9 [10],Isaías 29.13-16,Marcos 7.1-8
Ano A,Quinto Domingo depois da Epifania,Seg,,Salmo 119.105-112,II Reis 22.3-20,Romanos 11.2-10
Ano A,Quinto Domingo depois da Epifania,Ter,,Salmo 119.105-112,"II Reis 23.1-8, 21-25",II Coríntios 4.1-12
Ano A,Quinto Domingo depois da Epifania,Qua,,Salmo 119.105-112,Provérbios 6.6-23,João 8.12-30
Ano A,Sexto Domingo depois da Epifania,Qui,,Salmo 119.1-8,Gênesis 26.1-5,Tiago 1.12-16
Ano A,Sexto Domingo depois da Epifania,Sex,,Salmo 119.1-8,Levítico 26.34-46,I João 2.7-17
Ano A,Sexto Domingo depois da Epifania,Sab,,Salmo 119.1-8,Deuteronômio 30.1-9a,Mateus 15.1-9
Ano A,Sexto Domingo depois da Epifania,Seg,,Salmo 119.9-16,Êxodo 20.1-21,Tiago 1.2-8
Ano A,Sexto Domingo depois da Epifania,Ter,,Salmo 119.9-16,"Deuteronômio 23.21–24.4, 10-15",Tiago 2.1-13
Ano A,Sexto Domingo depois da Epifania,Qua,,Salmo 119.9-16,Provérbios 2.1-15,Mateus 19.1-12
Ano A,Sétimo Domingo depois da Epifania,Qui,,Salmo 119.33-40,Êxodo 22.21-27,I Coríntios 10.23–11.1
Ano A,Sétimo Domingo depois da Epifania,Sex,,Salmo 119.33-40,Levítico 6.1-7,Gálatas 5.2-6
Ano A,Sétimo Domingo depois da Epifania,Sab,,Salmo 119.33-40,Levítico 24.10-23,Mateus 7.1-12
Ano A,Sétimo Domingo depois da Epifania,Seg,,Salmo 119.57-64,Provérbios 25.11-22,Romanos 12.9-21
Ano A,Sétimo Domingo depois da Epifania,Ter,,Salmo 119.57-64,"Gênesis 31.1-3, 17-50",Hebreus 12.14-16
Ano A,Sétimo Domingo depois da Epifania,Qua,,Salmo 119.57-64,Provérbios 3.27-35,Lucas 18.18-30
Ano A,Oitavo Domingo depois da Epifania,Qui,,Salmo 131,Provérbios 12.22-28,Filipenses 2.19-24
Ano A,Oitavo Domingo depois da Epifania,Sex,,Salmo 131,Isaías 26.1-6,Filipenses 2.25-30
Ano A,Oitavo Domingo depois da Epifania,Sab,,Salmo 131,Isaías 31.1-9,Lucas 11.14-23
Ano A,Oitavo Domingo depois da Epifania,Seg,,Salmo 104,Deuteronômio 32.1-14,Hebreus 10.32-39
Ano A,Oitavo Domingo depois da Epifania,Ter,,Salmo 104,I Reis 17.1-16,I Coríntios 4.6-21
Ano A,Oitavo Domingo depois da Epifania,Qua,,Salmo 104,Isaías 66.7-13,Lucas 12.22-31
Ano A,Nono Domingo depois da Epifania,Qui,,Salmo 31.1-5; 19-24,Êxodo 24.1-8,Romanos 2.17-29
Ano A,Nono Domingo depois da Epifania,Sex,,Salmo 31.1-5; 19-24,Deuteronômio 30.1-5,Romanos 9.6-13
Ano A,Nono Domingo depois da Epifania,Sab,,Salmo 31.1-5; 19-24,Amós 2.6-11,Mateus 7.1-6
Ano A,Nono Domingo depois da Epifania,Seg,,Salmo 52,Josué 8.30-35,Romanos 2.1-11
Ano A,Nono Domingo depois da Epifania,Ter,,Salmo 52,"Josué 24.1-2, 11-28",Romanos 3.9-22a
Ano A,Último Domingo depois da Epifania,Qui,,Salmo 2,Êxodo 6.2-9,Hebreus 8.1-7
Ano A,Último Domingo depois da Epifania,Sex,,Salmo 2,Êxodo 19.9b-25,Hebreus 11.23-28
Ano A,Último Domingo depois da Epifania,Sab,,Salmo 2,I Reis 21.20-29,Marcos 9.9-13
Ano A,Último Domingo depois da Epifania,Seg,,Salmo 78.17-20; 52-55,Êxodo 33.7-23,Atos 7.30-34
Ano A,Último Domingo depois da Epifania,Ter,,Salmo 78.17-20; 52-55,I Reis 19.9-18,Romanos 11.1-6
Ano A,Primeiro Domingo da Quaresma,Qui,,Salmo 51,Jonas 3.1-10,Romanos 1.1-7
Ano A,Primeiro Domingo da Quaresma,Sex,,Salmo 51,Jonas 4.1-11,Romanos 1.8-17
Ano A,Primeiro Domingo da Quaresma,Sab,,Salmo 51,Isaías 58.1-12,Mateus 18.1-7
Ano A,Primeiro Domingo da Quaresma,Seg,,Salmo 32,I Reis 19.1-8,Hebreus 2.10-18
Ano A,Primeiro Domingo da Quaresma,Ter,,Salmo 32,Gênesis 4.1-16,Hebreus 4.14–5.10
Ano A,Primeiro Domingo da Quaresma,Qua,,Salmo 32,"Êxodo 34.1-9, 27-28",Mateus 18.10-14
Ano A,Segundo Domingo da Quaresma,Qui,,Salmo 121,Isaías 51.1-3,II Timóteo 1.3-7
Ano A,Segundo Domingo da Quaresma,Sex,,Salmo 121,Miqueias 7.18-20,Romanos 3.21-31
Ano A,Segundo Domingo da Quaresma,Sab,,Salmo 121,Isaías 51.4-8,Lucas 7.1-10
Ano A,Segundo Domingo da Quaresma,Seg,,Salmo 128,Números 21.4-9,Hebreus 3.1-6
Ano A,Segundo Domingo da Quaresma,Ter,,Salmo 128,Isaías 65.17-25,Romanos 4.6-13
Ano A,Segundo Domingo da Quaresma,Qua,,Salmo 128,Ezequiel 36.22-32,João 7.53–8.11
Ano A,Terceiro Domingo da Quaresma,Qui,,Salmo 95,Êxodo 16.1-8,Colossenses 1.15-23
Ano A,Terceiro Domingo da Quaresma,Sex,,Salmo 95,Êxodo 16.9-21,Efésios 2.11-22
Ano A,Terceiro Domingo da Quaresma,Sab,,Salmo 95,Êxodo 16.27-35,João 4.1-6
Ano A,Terceiro Domingo da Quaresma,Seg,,Salmo 81,Gênesis 24.1-27,II João 1-13
Ano A,Terceiro Domingo da Quaresma,Ter,,Salmo 81,Gênesis 29.1-14,I Coríntios 10.1-4
Ano A,Terceiro Domingo da Quaresma,Qua,,Salmo 81,Jeremias 2.4-13,"João 7.14-31, 37-39"
Ano A,Quarto Domingo da Quaresma,Qui,,Salmo 23,I Samuel 15.10-21,Efésios 4.25-32
Ano A,Quarto Domingo da Quaresma,Sex,,Salmo 23,I Samuel 15.22-31,Efésios 5.1-9
Ano A,Quarto Domingo da Quaresma,Sab,,Salmo 23,I Samuel 15.32-34,João 1.1-9
Ano A,Quarto Domingo da Quaresma,Seg,,Salmo 146,Isaías 59.9-19,Atos 9.1-20
Ano A,Quarto Domingo da Quaresma,Ter,,Salmo 146,Isaías 42.14-21,Colossenses 1.9-14
Ano A,Quarto Domingo da Quaresma,Qua,,Salmo 146,Isaías 60.17-22,Mateus 9.27-34
Ano A,Quinto Domingo da Quaresma,Qui,,Salmo 130,Ezequiel 1.1-3; 2.8–3.3,Apocalipse 10.1-11
Ano A,Quinto Domingo da Quaresma,Sex,,Salmo 130,Ezequiel 33.10-16,Apocalipse 11.15-19
Ano A,Quinto Domingo da Quaresma,Sab,,Salmo 130,Ezequiel 36.8-15,Lucas 24.44-53
Ano A,Quinto Domingo da Quaresma,Seg,,Salmo 143,I Reis 17.17-24,Atos 20.7-12
Ano A,Quinto Domingo da Quaresma,Ter,,Salmo 143,II Reis 4.18-37,Efésios 2.1-10
Ano A,Quinto Domingo da Quaresma,Qua,,Salmo 143,"Jeremias 32.1-9, 36-41",Mateus 22.23-33
Ano A,Domingo de Ramos,Qui,,Salmo 31.9-16,I Samuel 16.11-13,Filipenses 1.1-11
Ano A,Domingo de Ramos,Sex,,Salmo 31.9-16,Jó 13.13-19,Filipenses 1.21-30
Ano A,Domingo de Ramos,Sab,,Salmo 31.9-16,Lamentações 3.55-66,Marcos 10.32-34
Ano A,Segundo Domingo da Páscoa,Seg,,Salmo 118.1-2; 14-24,"Êxodo 14.10-31; 15.20-21",Colossenses 3.5-11
Ano A,Segundo Domingo da Páscoa,Ter,,Salmo 118.1-2; 14-24,Êxodo 15.1-18,Colossenses 3.12-17
Ano A,Segundo Domingo da Páscoa,Qua,,Salmo 118.1-2; 14-24,Josué 3.1-17,Mateus 28.1-10
Ano A,Segundo Domingo da Páscoa,Qui,,Salmo 16,Cântico dos Cânticos 2.8-15,Colossenses 4.2-5
Ano A,Segundo Domingo da Páscoa,Sex,,Salmo 16,Cântico dos Cânticos 5.9–6.3,I Coríntios 15.1-11
Ano A,Segundo Domingo da Páscoa,Sab,,Salmo 16,Cântico dos Cânticos 8.6-7,João 20.11-20
Ano A,Terceiro Domingo da Páscoa,Seg,,Salmo 114,Juízes 6.36-40,I Coríntios 15.12-20
Ano A,Terceiro Domingo da Páscoa,Ter,,Salmo 114,Jonas 1.1-17,I Coríntios 15.19-28
Ano A,Terceiro Domingo da Páscoa,Qua,,Salmo 114,Jonas 2.1-10,Mateus 12.38-42
Ano A,Terceiro Domingo da Páscoa,Qui,,Salmo 116.1-4; 12-19,Isaías 25.1-5,I Pedro 1.8b-12
Ano A,Terceiro Domingo da Páscoa,Sex,,Salmo 116.1-4; 12-19,Isaías 26.1-4,I Pedro 1.13-16
Ano A,Terceiro Domingo da Páscoa,Sab,,Salmo 116.1-4; 12-19,Isaías 25.6-9,Lucas 14.12-14
Ano A,Quarto Domingo da Páscoa,Seg,,Salmo 134,Gênesis 18.1-14,I Pedro 1.23-25
Ano A,Quarto Domingo da Páscoa,Ter,,Salmo 134,Provérbios 8.32–9.6,I Pedro 2.1-3
Ano A,Quarto Domingo da Páscoa,Qua,,Salmo 134,Êxodo 24.1-11,João 21.1-14
Ano A,Quarto Domingo da Páscoa,Qui,,Salmo 23,Êxodo 2.15b-25,I Pedro 2.9-12
Ano A,Quarto Domingo da Páscoa,Sex,,Salmo 23,"Êxodo 3.16-22; 4.18-20",I Pedro 2.13-17
Ano A,Quarto Domingo da Páscoa,Sab,,Salmo 23,Ezequiel 34.1-16,Lucas 15.1-7
Ano A,Quinto Domingo da Páscoa,Seg,,Salmo 100,Ezequiel 34.17-23,I Pedro 5.1-5
Ano A,Quinto Domingo da Páscoa,Ter,,Salmo 100,Ezequiel 34.23-31,Hebreus 13.20-21
Ano A,Quinto Domingo da Páscoa,Qua,,Salmo 100,Jeremias 23.1-8,Mateus 20.17-28
Ano A,Quinto Domingo da Páscoa,Qui,,Salmo 31.1-5; 15-16,Gênesis 12.1-3,Atos 6.8-15
Ano A,Quinto Domingo da Páscoa,Sex,,Salmo 31.1-5; 15-16,Êxodo 3.1-12,Atos 7.1-16
Ano A,Quinto Domingo da Páscoa,Sab,,Salmo 31.1-5; 15-16,Jeremias 26.20-24,João 8.48-59
Ano A,Sexto Domingo da Páscoa,Seg,,Salmo 102.1-17,Êxodo 13.17-22,Atos 7.17-40
Ano A,Sexto Domingo da Páscoa,Ter,,Salmo 102.1-17,Provérbios 3.5-12,Atos 7.44-56
Ano A,Sexto Domingo da Páscoa,Qua,,Salmo 102.1-17,Provérbios 3.13-18,João 8.31-38
Ano A,Sexto Domingo da Páscoa,Qui,,Salmo 66.8-20,Gênesis 6.5-22,Atos 27.1-12
Ano A,Sexto Domingo da Páscoa,Sex,,Salmo 66.8-20,Gênesis 7.1-24,Atos 27.13-38
Ano A,Sexto Domingo da Páscoa,Sab,,Salmo 66.8-20,Gênesis 8.13-19,João 14.27-29
Ano A,Sétimo Domingo da Páscoa,Seg,,Salmo 93,Gênesis 9.8-17,Atos 27.39-44
Ano A,Sétimo Domingo da Páscoa,Ter,,Salmo 93,Deuteronômio 5.22-33,I Pedro 3.8-12
Ano A,Sétimo Domingo da Páscoa,Qua,,Salmo 93,Deuteronômio 31.1-13,João 16.16-24
Ano A,Sétimo Domingo da Páscoa,Sex,,Salmo 93,II Reis 2.1-12,Efésios 2.1-7
Ano A,Sétimo Domingo da Páscoa,Sab,,Salmo 93,II Reis 2.13-15,João 8.21-30
Ano A,Pentecostes,Seg,,Salmo 99,Levítico 9.1-11; 22-24,I Pedro 4.1-6
