ciclo,semana,dia,salmo_manha,salmo_noite,antigo_testamento,novo_testamento,evangelho
Par,Sétima Semana da Epifania,Sab,"Salmo 137:1-6(7-9), 144",Salmo 104,Provérbios 8:22-36,2 Timóteo 1:1-14,João 12:20-26
Par,Oitava Semana da Epifania,Seg,"Salmo 1, 2, 3","Salmo 4, 7",Provérbios 10:1-12,2 Timóteo 1:15-2:13,João 12:27-36a
Par,Oitava Semana da Epifania,Ter,"Salmo 5, 6","Salmo 10, 11",Provérbios 15:16-33,2 Timóteo 2:14-26,João 12:36b-50
Par,Oitava Semana da Epifania,Qua,Salmo 119:1-24,"Salmo 12, 13, 14",Provérbios 17:1-20,2 Timóteo 3:1-17,João 13:1-20
Par,Oitava Semana da Epifania,Qui,Salmo 18:1-20,Salmo 18:21-50,Provérbios 21:30-22:6,2 Timóteo 4:1-8,João 13:21-30
Par,Oitava Semana da Epifania,Sex,"Salmo 16, 17",Salmo 22,"Provérbios 23:19-21, 29-24:22",Filipenses 1:1-11,João 13:31-38
Par,Oitava Semana da Epifania,Sab,"Salmo 20, 21:1-7(8-14)","Salmo 110:1-5(6-7), 116, 117",Provérbios 25:15-28,Filipenses 1:1-11,João 18:1-14
Par,Última Semana da Epifania,Seg,Salmo 25,"Salmo 9, 15","Provérbios 27:1-6, 10-12",Filipenses 2:1-13,"João 18:15-18, 25-27"
Par,Última Semana da Epifania,Ter,"Salmo 26, 28","Salmo 36, 39","Provérbios 30:1-4, 24-33",Filipenses 3:1-11,João 18:28-38
Par,Última Semana da Epifania,Qua,"Salmo 95 & 32, 143","Salmo 102, 130",Amós 5:6-15,Hebreus 12:1-14,Lucas 18:9-14
Par,Última Semana da Epifania,Qui,Salmo 37:1-18,Salmo 37:19-42,Habacuque 3:1-10(11-15)16-18,Filipenses 3:12-21,João 17:1-8
Par,Última Semana da Epifania,Sex,"Salmo 95, 31",Salmo 35,"Ezequiel 18:1-4, 25:32",Filipenses 4:1-9,João 17:9-19
Par,Última Semana da Epifania,Sab,"Salmo 30, 32","Salmo 42, 43",Ezequiel 39:21-29,Filipenses 4:10-20,João 17:20-26
Par,Primeira Semana da Quaresma,Seg,"Salmo 41, 52",Salmo 44,Gênesis 37:1-11,1 Coríntios 1:1-19,Marcos 1:1-13
Par,Primeira Semana da Quaresma,Ter,Salmo 45,"Salmo 47, 48",Gênesis 37:12-24,1 Coríntios 1:20-31,Marcos 1:14-28
Par,Primeira Semana da Quaresma,Qua,Salmo 119:49-72,"Salmo 49, [53]",Gênesis 37:25-36,1 Coríntios 2:1-13,Marcos 1:29-45
Par,Primeira Semana da Quaresma,Qui,Salmo 50,"[59-60]ou Salmo 19, 46",Gênesis 39:1-23,1 Coríntios 2:14-3:15,Marcos 2:1-12
Par,Primeira Semana da Quaresma,Sex,"Salmo 95 & 40, 54",Salmo 51,Gênesis 40:1-23,1 Coríntios 3:16-23,Marcos 2:13-22
Par,Primeira Semana da Quaresma,Sab,Salmo 55,"Salmo 138, 139:1-17(18-23)",Gênesis 41:1-13,1 Coríntios 4:1-7,Marcos 2:23-3:6
Par,Segunda Semana da Quaresma,Seg,"Salmo 56, 57, [58]","Salmo 64, 65",Gênesis 41:46-57,1 Coríntios 4:8-20(21),Marcos 3:7-19a
Par,Segunda Semana da Quaresma,Ter,"Salmo 61, 62",Salmo 68:1-20(21-23)24-36,Gênesis 42:1-17,1 Coríntios 5:1-8,Marcos 3:19b-35
Par,Segunda Semana da Quaresma,Qua,Salmo 72,Salmo 119:73-96,Gênesis 42:18-28,1 Coríntios 5:9-6:8,Marcos 4:1-20
Par,Segunda Semana da Quaresma,Qui,"Salmo [70], 71",Salmo 74,Gênesis 42:29-38,1 Coríntios 6:12-20,Marcos 4:21-34
Par,Segunda Semana da Quaresma,Sex,"Salmo 95, & 69:1-23(24-30)31-38",Salmo 73,Gênesis 43:1-15,1 Coríntios 7:1-9,Marcos 4:35-41
Par,Segunda Semana da Quaresma,Sab,"Salmo 75, 76","Salmo 23, 27",Gênesis 43:16-34,1 Coríntios 7:10-24,Marcos 5:1-20
Par,Terceira Semana da Quaresma,Seg,Salmo 80,"Salmo 77, [79]",Gênesis 44:18-34,1 Coríntios 7:25-31,Marcos 5:21-43
Par,Terceira Semana da Quaresma,Ter,Salmo 78:1-39,Salmo 78:40-72,Gênesis 45:1-15,1 Coríntios 7:32-40,Marcos 6:1-13
Par,Terceira Semana da Quaresma,Qua,Salmo 119:97-120,"Salmo 81, 82",Gênesis 45:16-28,1 Coríntios 8:1-13,Marcos 6:13-29
Par,Terceira Semana da Quaresma,Qui,"Salmo [83]ou 42, 43","Salmo 85, 86","Gênesis 46:1-7, 28-34",1 Coríntios 9:1-15,Marcos 6:30-46
Par,Terceira Semana da Quaresma,Sex,Salmo 95 & 88,"Salmo 91, 92",Gênesis 47:1-26,1 Coríntios 9:16-27,Marcos 6:47-56
Par,Terceira Semana da Quaresma,Sab,"Salmo 87, 90",Salmo 136,Gênesis 47:27-48:7,1 Coríntios 10:1-13,Marcos 7:1-23
Par,Quarta Semana da Quaresma,Seg,Salmo 89:1-18,Salmo 89:19-52,Gênesis 49:1-28,1 Coríntios 10:14-11:1,Marcos 7:24-37
Par,Quarta Semana da Quaresma,Ter,"Salmo 97, 99, [100]","Salmo 94, [95]",Gênesis 49:29-50:14,1 Coríntios 11:17-34,Marcos 8:1-10
Par,Quarta Semana da Quaresma,Qua,"Salmo 101, 109:1-4(5-19)20-30",Salmo 119:121-144,Gênesis 50:15-26,1 Coríntios 12:1-11,Marcos 8:11-26
Par,Quarta Semana da Quaresma,Qui,Salmo 69:1-23(24-30)31-38,Salmo 73,Êxodo 1:6-22,1 Coríntios 12:12-26,Marcos 8:27-9:1
Par,Quarta Semana da Quaresma,Sex,Salmo 95 & 102,Salmo 107:1-32,Êxodo 2:1-22,1 Coríntios 12:27-13:3,Marcos 9:2-13
Par,Quarta Semana da Quaresma,Sab,"Salmo 107:33-43, 108:1-6(7-13)",Salmo 33,Êxodo 2:23-3:15,1 Coríntios 13:1-13,Marcos 9:14-29
Par,Quinta Semana da Quaresma,Seg,Salmo 31,Salmo 35,Êxodo 4:10-20(21-26)27-311,1 Coríntios 14:1-19,Marcos 9:30-41
Par,Quinta Semana da Quaresma,Ter,"Salmo [120], 121, 122, 123","Salmo 124, 125, 126, [127]",Êxodo 5:1—6:1,"1 Coríntios 14:20-33a, 39-40",Marcos 9:42-50
Par,Quinta Semana da Quaresma,Qua,Salmo 119:145-176,"Salmo 128, 129, 130",Êxodo 7:8-24,2 Coríntios 2:14-3:6,Marcos 10:1-16
Par,Quinta Semana da Quaresma,Qui,"Salmo 131, 132, [133]","Salmo 140, 142",Êxodo 7:25-8:19,2 Coríntios 4:1-12,Marcos 10:17-31
Par,Quinta Semana da Quaresma,Sex,Salmo 95 & 22,"Salmo 141, 143:1-11(12)",Êxodo 9:13-35,2 Coríntios 4:13-18,Marcos 10:32-45
Par,Quinta Semana da Quaresma,Sab,"Salmo 137:1-6(7-9), 144","Salmo 42, 43",Êxodo 10:21-11:8,2 Coríntios 4:13-18,Marcos 10:46-52
Par,Semana Santa,Seg,Salmo 51:1-18(19-20),Salmo 69:1-23,"Lamentações 1:1-2, 6-12",2 Coríntios 1:1-7,Marcos 11:12-25
Par,Semana Santa,Ter,"Salmo 6, 12",Salmo 94,Lamentações 1:17-22,2 Coríntios 1:8-22,Marcos 11:27-33
Par,Semana Santa,Qua,Salmo 55,Salmo 74,"Lamentações 2:1-9, 14-17",2 Coríntios 1:23-2:11,Marcos 12:1-11
Par,Semana Santa,Qui,Salmo 102,"Salmo 142, 143",Lamentações 2:10-18,"1 Coríntios 10:14-17, 11:27-32",1 Pedro 1:10-20
Par,Semana Santa,Sex,"Salmo 95, 22","Salmo 40:1-14(15-19), 54","Lamentações 3:1-9, 19-33",1 Pedro 1:10-20,João 13:36-38
Par,Semana Santa,Sab,"Salmo 95, 88",Salmo 27,Lamentações 3:37-58,Hebreus 4:1-16,João 19:38-42
Par,Primeira Semana da Páscoa,Seg,"Salmo 93, 98",Salmo 66,Êxodo 12:14-27,1 Coríntios 15:1-11,Marcos 16:1-8
Par,Primeira Semana da Páscoa,Ter,Salmo 103,"Salmo 111, 114",Êxodo 12:28-39,1 Coríntios 15:12-28,Marcos 16:9-20
Par,Primeira Semana da Páscoa,Qua,"Salmo 97, 99",Salmo 115,Êxodo 12:40-51,1 Coríntios 15:(29)30-41,Mateus 28:1-16
Par,Primeira Semana da Páscoa,Qui,"Salmo 146, 147","Salmo 148, 149",Êxodo 13:3-10,1 Coríntios 15:41-50,Mateus 28:16-20
Par,Primeira Semana da Páscoa,Sex,Salmo 136,Salmo 118,"Êxodo 13:1-2, 11-16",2 Coríntios 4:16-5:10,Lucas 24:1-12
Par,Primeira Semana da Páscoa,Sab,Salmo 145,Salmo 104,Êxodo 13:17-14:4,2 Coríntios 5:1-10,Marcos 12:18-27
Par,Segunda Semana da Páscoa,Seg,"Salmo 1, 2, 3","Salmo 4, 7",Êxodo 14:21-31,1 Pedro 1:1-12,João 14:(1-7)8-17
Par,Segunda Semana da Páscoa,Ter,"Salmo 5, 6","Salmo 10, 11",Êxodo 15:1-21,1 Pedro 1:13-25,João 14:18-31
Par,Segunda Semana da Páscoa,Qua,Salmo 119:1-24,"Salmo 12, 13, 14",Êxodo 15:22-16:10,1 Pedro 2:1-10,João 15:1-11
Par,Segunda Semana da Páscoa,Qui,Salmo 18:1-20,Salmo 18:21-50,Êxodo 16:10-21,1 Pedro 2:11-25,João 15:12-27
Par,Segunda Semana da Páscoa,Sex,"Salmo 16, 17",Salmo 22,Êxodo 16:22-36,1 Pedro 3:13 -4:6,João 16:1-15
Par,Segunda Semana da Páscoa,Sab,"Salmo 20, 21:1-7(8-14)","Salmo 110:1-5(6-7), 116, 117",Êxodo 17:1-16,1 Pedro 4:7-19,João 16:16-33
Par,Terceira Semana da Páscoa,Seg,Salmo 25,"Salmo 9, 15",Êxodo 18:13-27,1 Pedro 5:1-14,"Mateus (1:1-17), 3:1-6"
Par,Terceira Semana da Páscoa,Ter,"Salmo 26, 28","Salmo 36, 39",Êxodo 19:1-16,Colossenses 1:1-14,Mateus 3:7-12
Par,Terceira Semana da Páscoa,Qua,Salmo 38,Salmo 119:25-48,Êxodo 19:16-25,Colossenses 1:15-23,Mateus 3:13-17
Par,Terceira Semana da Páscoa,Qui,Salmo 37:1-18,Salmo 37:19-42,Êxodo 20:1-21,Colossenses 1:24-2:7,Mateus 4:1-11
Par,Terceira Semana da Páscoa,Sex,Salmo 105:1-22,Salmo 105:23-45,Êxodo 24:1-18,Colossenses 2:8-23,Mateus 4:12-17
Par,Terceira Semana da Páscoa,Sab,"Salmo 30, 32","Salmo 42, 43",Êxodo 25:1-22,Colossenses 3:1-17,Mateus 4:18-25
Par,Quarta Semana da Páscoa,Seg,"Salmo 41, 52",Salmo 44,Êxodo 32:1-20,Colossenses 3:18-4:6(7-16),Mateus 5:1-10
Par,Quarta Semana da Páscoa,Ter,Salmo 45,"Salmo 47, 48",Êxodo 32:21-34,1 Tessalonicenses 1,Mateus 5:11-16
Par,Quarta Semana da Páscoa,Qua,Salmo 119:49-72,"Salmo 49, [53]",Êxodo 33:1-23,1 Tessalonicenses 2:1-12,Mateus 5:17-20
Par,Quarta Semana da Páscoa,Qui,Salmo 50,"Salmo [59, 60]ou 114, 115",Êxodo 34:1-17,1 Tessalonicenses 2:13-20,Mateus 5:21-26
Par,Quarta Semana da Páscoa,Sex,"Salmo 40, 54",Salmo 51,Êxodo 34:18-35,1 Tessalonicenses 3,Mateus 5:27-37
Par,Quarta Semana da Páscoa,Sab,Salmo 55,"Salmo 138, 139:1-17(18-23)",Êxodo 40:18-38,1 Tessalonicenses 4:1-12,Mateus 5:38-48
Par,Quinta Semana da Páscoa,Seg,"Salmo 56-57, [58]","Salmo 64, 65",Levítico 16:1-19,1 Tessalonicenses 4:13-18,"Mateus 6:1-6, 16-18"
Par,Quinta Semana da Páscoa,Ter,"Salmo 61, 62",Salmo 68:1-20(21-23)24-36,Levítico 16:20-34,1 Tessalonicenses 5:1-11,Mateus 6:7-15
Par,Quinta Semana da Páscoa,Qua,Salmo 72,Salmo 119:73-96,Levítico 19:1-18,1 Tessalonicenses 5:12-28,Mateus 6:19-24
Par,Quinta Semana da Páscoa,Qui,"Salmo [70], 71",Salmo 74,Levítico 19:26-37,2 Tessalonicenses 1,Mateus 7:1-12
Par,Quinta Semana da Páscoa,Sex,Salmo 106:1-18,Salmo 106:19-48,Levítico 23:1-22,2 Tessalonicenses 2,Mateus 7:1-12
Par,Quinta Semana da Páscoa,Sab,"Salmo 75, 76","Salmo 23, 27",Levítico 23:23-44,2 Tessalonicenses 3:1-18,Mateus 7:13-21
Par,Sexta Semana da Páscoa,Seg,Salmo 80,"Salmo 77, [79]",Levítico 25:35-55,Colossenses 1:9-14,Mateus 13:1-16
Par,Sexta Semana da Páscoa,Ter,Salmo 78:1-39,Salmo 78:40-72,Levítico 26:1-20,1 Timóteo 2:1-6,Mateus 13:18-23
Par,Sexta Semana da Páscoa,Qua,Salmo 119:97-120,"Salmo 81, 82",Levítico 26:27-42,Efésios 1:1-10/ Apocalipse 5:1-14,Mateus 22:41-46
Par,Sexta Semana da Páscoa,Qui,"Salmo 8, 47","Salmo 24, 96",Daniel 7:9-14,Hebreus 2:5-18,Mateus 28:16-20
Par,Sexta Semana da Páscoa,Sex,"Salmo 85, 86","Salmo 91, 92",1 Samuel 2:1-10,Efésios 2:1-10,Mateus 7:22-27
Par,Sexta Semana da Páscoa,Sab,"Salmo 87, 90",Salmo 136,"Números 11:16-17, 24-29",Efésios 2:11-22,Mateus 7:28-8:4
Par,Sétima Semana da Páscoa,Seg,Salmo 89:1-18,Salmo 89:19-52,Josué 1:1-9,Efésios 3:1-13,Mateus 8:5-17
Par,Sétima Semana da Páscoa,Ter,"Salmo 97, 99, [100]","Salmo 94, [95]",1 Samuel 16:1-13a,Efésios 3:14-21,Mateus 8:18-27
Par,Sétima Semana da Páscoa,Qua,"Salmo 101, 109:1-4(5-19)20-30",Salmo 119:121-144,Isaías 4:2-6,Efésios 4:1-16,Mateus 8:28-34
Par,Sétima Semana da Páscoa,Qui,Salmo 105:1-22,Salmo 105:23-45,Zacarias 4:1-14,Efésios 4:17-32,Mateus 9:1-8
Par,Sétima Semana da Páscoa,Sex,Salmo 102,Salmo 107:1-32,Jeremias 31:27-34,Efésios 5:1-20,Mateus 9:9-17
Par,Sétima Semana da Páscoa,Sab,"Salmo 107:33-43, 108:1-6(7-13)",Salmo 33,"Ezequiel 36:22-27 / Êxodo 19:3-8a, 16-20",Efésios 6:10-24 / 1 Pedro 2:4-10,Mateus 9:18-26
Par,Próprio 1,Seg,Salmo 106:1-18,Salmo 106:19-48,Ezequiel 33:1-11,1 João 1,Mateus 9:27-34
Par,Próprio 1,Ter,"Salmo [120], 121, 122, 123","Salmo 124, 125, 126, [127]",Ezequiel 33:21-33,1 João 2:1-11,Mateus 9:35-10:4
Par,Próprio 1,Qua,Salmo 119:145-176,"Salmo 128, 129, 130",Ezequiel 34:1-16,1 João 2:12-17,Mateus 10:5-15
Par,Próprio 1,Qui,"Salmo 131, 132, [133]","Salmo 134, 135",Ezequiel 37:21b-28,1 João 2:18-29,Mateus 10:16-23
Par,Próprio 1,Sex,"Salmo 140, 142","Salmo 141, 143:1-11(12)",Ezequiel 39:21-29,1 João 3:1-10,Mateus 10:24-33
Par,Próprio 1,Sab,Salmo 137:1-6(7-9) 144,Salmo 104,Ezequiel 47:1-12,1 João 3:11-18,Mateus 10:34-42
Par,Próprio 2,Seg,"Salmo 1, 2, 3","Salmo 4, 7",Provérbios 3:11-20,1 João 3:18-4:6,Mateus 11:1-6
Par,Próprio 2,Ter,"Salmo 5, 6","Salmo 10, 11",Provérbios 4:1-27,1 João 4:7-21,Mateus 11:7-15
Par,Próprio 2,Qua,Salmo 119:1-24,"Salmo 12, 13, 14",Provérbios 6:1-19,1 João 5:1-12,Mateus 11:16-24
Par,Próprio 2,Qui,Salmo 18:1-20,Salmo 18:21-50,Provérbios 7:1-27,2 João 1-13,Mateus 11:25-30
Par,Próprio 2,Sex,"Salmo 16, 17",Salmo 22,Provérbios 8:1-21,3 João 1-15,Mateus 12:1-14
Par,Próprio 2,Sab,"Salmo 20, 21:1-7(8-14)","Salmo 110:1-5(6-7), 116, 117",Provérbios 8:22-36,Salmo 110:1-7(6-7) 116-117,Mateus 12:15-21
Par,Próprio 3,Seg,Salmo 25,"Salmo 9, 15",Provérbios 10:1-12,1 Timóteo 1:1-17,Mateus 12:22-32
Par,Próprio 3,Ter,"Salmo 26, 28","Salmo 36, 39",Provérbios 15:16-33,1 Timóteo 1:18-2:8,Mateus 12:33-42
Par,Próprio 3,Qua,Salmo 38,Salmo 119:25-48,Provérbios 17:1-20,1 Timóteo 3:1-16,Mateus 12:43-50
Par,Próprio 3,Qui,Salmo 37:1-18,Salmo 37:19-42,Provérbios 21:30-22:6,1 Timóteo 4:1-16,Mateus 13:24-30
Par,Próprio 3,Sex,Salmo 31,Salmo 35,"Provérbios 23:19-21, 29-24:21",1 Timóteo 5:17-25(23-25),Mateus 13:31-35
Par,Próprio 3,Sab,"Salmo 30, 32","Salmo 42, 43",Provérbios 25:15-28,1 Timóteo 6:6-21,Mateus 13:36-43
Par,Próprio 4,Seg,"Salmo 41, 52",Salmo 44,Eclesiastes 2:1-15,Gálatas 1:1-17,Mateus 13:44-52
Par,Próprio 4,Ter,Salmo 45,"Salmo 47, 48",Eclesiastes 2:16-26,Gálatas 1:18-2:10,Mateus 13:53-58
Par,Próprio 4,Qua,Salmo 119:49-72,"Salmo 49, [53]",Eclesiastes 3:1-15,Gálatas 2:11-21,Mateus 14:1-12
Par,Próprio 4,Qui,Salmo 50,"Salmo [59, 60]ou 8, 84",Eclesiastes 3:16-4:3,Gálatas 3:1-14,Mateus 14:13-21
Par,Próprio 4,Sex,"Salmo 40, 54",Salmo 51,Eclesiastes 5:1-7,Gálatas 3:15-22,Mateus 14:22-36
Par,Próprio 4,Sab,Salmo 55,"Salmo 138, 139:1-17(18-23)",Eclesiastes 5:8-20,Gálatas 3:23-4:11,Mateus 15:1-20
Par,Próprio 5,Seg,"Salmo 56-57, [58]","Salmo 64, 65",Eclesiastes 7:1-14,Gálatas 4:12-20,Mateus 15:21-28
Par,Próprio 5,Ter,"Salmo 61, 62",Salmo 68:1-20(21-23)24-36,Eclesiastes 8:14-9:10,Gálatas 4:21-31,Mateus 15:29-39
Par,Próprio 5,Qua,Salmo 72,Salmo 119:73-96,Eclesiastes 9:11-18,Gálatas 5:1-15,Mateus 16:1-12
Par,Próprio 5,Qui,"Salmo [70], 71",Salmo 74,Eclesiastes 11:1-8,Gálatas 5:16-24,Mateus 16:13-20
Par,Próprio 5,Sex,Salmo 69:1-23[24-30]31-38,Salmo 73,Eclesiastes 11:9-12:14,Gálatas 5:25-6:10,Mateus 16:21-28
Par,Próprio 5,Sab,"Salmo 75, 76","Salmo 23, 27",Números 3:1-13,Gálatas 6:11-18,Mateus 17:1-13
Par,Próprio 6,Seg,Salmo 80,"Salmo 77, [79]","Números 9:15-23, 10:29-36",Romanos 1:1-15,Mateus 17:14-21
Par,Próprio 6,Ter,Salmo 78:1-39,Salmo 78:40-72,Números 11:1-23,Romanos 1:16-25,Mateus 17:22-27
Par,Próprio 6,Qua,Salmo 119:97-120,"Salmo 81, 82",Números 11:24-35(34-35),Romanos 1:28-2:11,Mateus 18:1-9
Par,Próprio 6,Qui,Salmo [83]ou 34,"Salmo 85, 86",Números 12:1-16,Romanos 2:12-24,Mateus 18:10-20
Par,Próprio 6,Sex,Salmo 88,"Salmo 91, 92","Números 13:1-3, 21-30",Romanos 2:25-3:8,Mateus 18:21-35
Par,Próprio 6,Sab,"Salmo 87, 90",Salmo 136,Números 13:31-14:25,Romanos 3:9-20,Mateus 19:1-12
Par,Próprio 7,Seg,Salmo 89:1-18,Salmo 89:19-52,Números 16:1-19,Romanos 3:21-31,Mateus 19:13-22
Par,Próprio 7,Ter,"Salmo 97, 99, [100]","Salmo 94, [95]",Números 16:20-35,Romanos 4:1-12,Mateus 19:23-30
Par,Próprio 7,Qua,"Salmo 101, 109:1-4(5-19)20-30",Salmo 119:121-144,Números 16:36-50,Romanos 4:13-25,Mateus 20:1-16
Par,Próprio 7,Qui,Salmo 105:1-22,Salmo 105:23-45,Números 17:1-11,Romanos 5:1-11,Mateus 20:17-28
Par,Próprio 7,Sex,Salmo 102,Salmo 107:1-32,Números 20:1-13,Romanos 5:12-21,Mateus 20:29-34
Par,Próprio 7,Sab,"Salmo 107:33-43, 108:1-6(7-13)",Salmo 33,Números 20:14-29,Romanos 6:1-11,Mateus 21:1-11
Par,Próprio 8,Seg,Salmo 106:1-18,Salmo 106:19-48,Números 22:1-21,Romanos 6:12-23,Mateus 21:12-22
Par,Próprio 8,Ter,"Salmo [120], 121, 122, 123","Salmo 124, 125, 126, [127]",Números 22:21-38,Romanos 7:1-12,Mateus 21:23-32
Par,Próprio 8,Qua,Salmo 119:145-176,"Salmo 128, 129, 130",Números 22:41-23:12,Romanos 7:13-25,Mateus 21:33-46
Par,Próprio 8,Qui,"Salmo 131, 132, [133]","Salmo 134, 135",Números 23:11-26,Romanos 8:1-11,Mateus 22:1-14
Par,Próprio 8,Sex,"Salmo 140, 142","Salmo 141, 143:1-11(12)",Números 24:1-13,Romanos 8:12-17,Mateus 22:15-22
Par,Próprio 8,Sab,"Salmo 137(7-9), 144",Salmo 104,Números 24:12-25,Romanos 8:18-25,Mateus 22:23-40
Par,Próprio 9,Seg,"Salmo 1, 2, 3","Salmo 4, 7","Números 32:1-6, 16-27",Romanos 8:26-30,Mateus 23:1-12
Par,Próprio 9,Ter,"Salmo 5, 6","Salmo 10, 11","Números 35:1-3, 9-15, 30-34",Romanos 8:31-39,Mateus 23:13-26
Par,Próprio 9,Qua,Salmo 119:1-24,"Salmo 12, 13, 14",Deuteronômio 1:1-18,Romanos 9:1-18,Mateus 23:27-39
Par,Próprio 9,Qui,Salmo 18:1-20,Salmo 18:21-50,Deuteronômio 3:18-28,Romanos 9:19-33,Mateus 24:1-14
Par,Próprio 9,Sex,"Salmo 16, 17",Salmo 22,"Deuteronômio 31:1-13, 24-32:4",Romanos 10:1-13,Mateus 24:15-31
Par,Próprio 9,Sab,"Salmo 20, 21:1-7(8-14)","Salmo 110:1-5(6-7), 116, 117",Deuteronômio 34,Romanos 10:14-21,Mateus 24:32-51
Par,Próprio 10,Seg,Salmo 25,"Salmo 9, 15",Josué 2:1-14,Romanos 11:1-12,Mateus 25:1-13
Par,Próprio 10,Ter,"Salmo 26, 28","Salmo 36, 39",Josué 2:15-24,Romanos 11:13-24,Mateus 25:14-30
Par,Próprio 10,Qua,Salmo 38,Salmo 119:25-48,Josué 3:1-13,Romanos 11:25-36,Mateus 25:31-46
Par,Próprio 10,Qui,Salmo 37:1-18,Salmo 37:19-42,Josué 3:14-4:7,Romanos 12:1-8,Mateus 26:1-16
Par,Próprio 10,Sex,Salmo 31,Salmo 35,"Josué 4:19-5:1, 10-15",Romanos 12:9-21,Mateus 26:17-25
Par,Próprio 10,Sab,"Salmo 30, 32","Salmo 42, 43",Josué 6:1-14,Romanos 13:1-7,Mateus 26:26-35
Par,Próprio 11,Seg,"Salmo 41, 52",Salmo 44,Josué 7:1-13,Romanos 13:8-14,Mateus 26:36-46
Par,Próprio 11,Ter,Salmo 45,"Salmo 47, 48",Josué 8:1-22,Romanos 14:1-12,Mateus 26:47-56
Par,Próprio 11,Qua,Salmo 119:49-72,"Salmo 49, [53]",Josué 8:30-35,Romanos 14:13-23,Mateus 26:57-68
Par,Próprio 11,Qui,Salmo 50,"Salmo [59, 60]ou 66, 67",Josué 9:3-21,Romanos 15:1-13,Mateus 26:69-75
Par,Próprio 11,Sex,"Salmo 40, 54",Salmo 51,Josué 9:22-10:15,Romanos 15:14-24,Mateus 27:1-10
Par,Próprio 11,Sab,Salmo 55,"Salmo 138, 139:1-17(18-23)",Josué 23:1-16,Romanos 15:25-33,Mateus 27:11-23
Par,Próprio 12,Seg,"Salmo 56-57, [58]","Salmo 64, 65",Josué 24:16-33,Romanos 16:1-16,Mateus 27:24-31
Par,Próprio 12,Ter,"Salmo 61, 62",Salmo 68:1-20(21-23)24-36,"Juízes 2:1-5, 11-23",Romanos 16:17-27,Mateus 27:32-44
Par,Próprio 12,Qua,Salmo 72,Salmo 119:73-96,Juízes 3:12-30,Atos 1:1-14,Mateus 27:45-54
Par,Próprio 12,Qui,"Salmo [70], 71",Salmo 74,Juízes 4:4-23,Atos 1:15-26,Mateus 27:55-66
Par,Próprio 12,Sex,Salmo 69:1-23[24-30]31-38,Salmo 73,Juízes 5:1-18,Atos 2:1-21,Mateus 28:1-10
Par,Próprio 12,Sab,"Salmo 75, 76","Salmo 23, 27",Juízes 5:19-31,Atos 2:22-36,Mateus 28:11-20
Par,Próprio 13,Seg,Salmo 80,"Salmo 77, [79]",Juízes 6:25-40,Atos 2:37-47,João 1:1-18
Par,Próprio 13,Ter,Salmo 78:1-39,Salmo 78:40-72,Juízes 7:1-18,Atos 3:1-11,João 1:19-28
Par,Próprio 13,Qua,Salmo 119:97-120,"Salmo 81, 82",Juízes 7:19-8:12,Atos 3:12-26,João 1:29-42
Par,Próprio 13,Qui,Salmo [83]ou 145,"Salmo 85, 86",Juízes 8:22-35,Atos 4:1-12,João 1:43-51
Par,Próprio 13,Sex,Salmo 88,"Salmo 91, 92","Juízes 9:1-16, 19-21",Atos 4:13-31,João 2:1-12
Par,Próprio 13,Sab,"Salmo 87, 90",Salmo 136,"Juízes 9:22-25, 50-57",Atos 4:32-5:11,João 2:13-25
Par,Próprio 14,Seg,Salmo 89:1-18,Salmo 89:19-52,Juízes 11:1-11,Atos 5:12-26,João 3:1-21
Par,Próprio 14,Ter,"Salmo 97, 99, [100]","Salmo 94, [95]",Juízes 11:29-40,Atos 5:27-42,João 3:22-36
Par,Próprio 14,Qua,"Salmo 101, 109:1-4(5-19)20-30",Salmo 119:121-144,Juízes 12:1-7,Atos 6:1-15,João 4:1-26
Par,Próprio 14,Qui,Salmo 105:1-22,Salmo 105:23-45,Juízes 14:1-19,Atos 6:15-7:16,João 4:27-42
Par,Próprio 14,Sex,Salmo 102,Salmo 107:1-32,Juízes 14:20-15:20,Atos 7:17-29,João 4:43-54
Par,Próprio 14,Sab,"Salmo 107:33-43, 108:1-6(7-13)",Salmo 33,Juízes 16:1-14,Atos 7:30-43,João 5:1-18
Par,Próprio 15,Seg,Salmo 106:1-18,Salmo 106:19-48,Juízes 17:1-13,Atos 7:44-8:1a,João 5:19-29
Par,Próprio 15,Ter,"Salmo [120], 121, 122, 123","Salmo 124, 125, 126, [127]",Juízes 18:1-15,Atos 8:1-13,João 5:30-47
Par,Próprio 15,Qua,Salmo 119:145-176,"Salmo 128, 129, 130",Juízes 18:16-31,Atos 8:14-25,João 6:1-15
Par,Próprio 15,Qui,"Salmo 131, 132, [133]","Salmo 134, 135",Jó 1:1-22,Atos 8:26-40,João 6:16-27
Par,Próprio 15,Sex,"Salmo 140, 142","Salmo 141, 143:1-11(12)",Jó 2:1-13,Atos 9:1-9,João 6:27-40
Par,Próprio 15,Sab,"Salmo 137:1-6(7-9), 144",Salmo 104,Jó 3:1-26,Atos 9:10-19a,João 6:41-51
Par,Próprio 16,Seg,"Salmo 1, 2, 3","Salmo 4, 7","Jó 4:1, 5:1-11, 17-21, 26-27",Atos 9:19-31,João 6:52-59
Par,Próprio 16,Ter,"Salmo 5, 6","Salmo 10, 11","Jó 6:1-4, 8-15, 21",Atos 9:32-43,João 6:60-71
